text,label
Amazon  order  #6048  has  been  shipped.  Expected  delivery  tomorrow.,Transactional
Call	me	when	you	reach	home.,Personal
Mom said dinner is ready 😂 come fast!,Personal
Reliance  Digital:  Pre-book  iPhone  now  &  get  assured  gift.,Promotional
reliance	digital:	pre-book	iphone	now	&	get	assured	gift.	free	netflix	mil	raha	hai	bro	😎,Promotional
Bro	the	movie	was	awesome	yesterday!,Personal
Happy	Birthday	man	🎉	wish	you	all	the	best!,Personal
Get	50%	off	on	Myntra	this	weekend!	Shop	now.,Promotional
"CONGRATS! You have won ₹10,00,000. Click http://bit.ly/win-now",Spam
I’ll	send	you	the	assignment	file	tonight.,Personal
Happy Diwali 🎇 Don’t miss 50% OFF festive sale!,Promotional
happy  birthday  man  🎉  wish  you  all  the  best!  recharge  kar  diya  kya  jio  ka?🔥,Personal
good  morning  🌞  have  a  great  day!,Personal
mom	said	dinner	is	ready	😂	come	fast!,Personal
selected	for	a	lucky	draw.	call	9998887770	now!,Spam
Bro the movie was awesome yesterday!,Personal
Policy  #3966  premium  of  Rs.7179  successfully  paid.,Transactional
Don’t  forget  to  submit  the  assignment  today.,Starred
Your  OTP  for  Paytm  login  is  123995.  Do  not  share  with  anyone.!!!,Transactional
Payment  of  Rs.6452  received  for  your  mobile  recharge.,Transactional
Bro	the	movie	was	awesome	yesterday!,Personal
Payment of Rs.3981 received for your mobile recharge.,Transactional
I’ll send you the assignment file tonight. Recharge kar diya kya Jio ka?,Personal
Free  Netflix  for  1  year!  Click  to  activate.,Spam
Don’t  forget  tomorrow’s  match  at  7.,Personal
"bro  the  movie  was  awesome  yesterday!  offer  mast  hai  bhai,  jaldi  le  le!",Personal
Your  account  has  been  blocked.  Verify  immediately  at  http://fakebank.com,Spam
can	you	pick	me	up	on	your	way? 😂,Personal
BookMyShow:	₹150	cashback	on	your	next	booking.,Promotional
Limited	time	deal!	Flat	30%	off	on	electronics.,Promotional
I’ll send you the assignment file tonight.,Personal
call me to claim your reward 😂,Personal
booking id 3684 cancelled. refund in 3-5 days.,Transactional
Congrats!	You’re	shortlisted	for	a	brand-new	car!,Spam
Transaction	alert:	Rs.6691	credited	to	your	account.,Transactional
Mom said dinner is ready 😂 come fast!,Personal
Congrats!	You’re	shortlisted	for	a	brand-new	car!,Spam
"Hey	bro,	are	we	meeting	today?",Personal
payment of rs.3112 received for your mobile recharge.,Transactional
Zomato	Gold:	Enjoy	1+1	meals.	Activate	now!,Promotional
Your	account	has	been	blocked.	Verify	immediately	at	http://fakebank.com 😎,Spam
Limited	time	deal!	Flat	30%	off	on	electronics.,Promotional
"Hey	bro,	are	we	meeting	today?",Personal
Your  OTP  for  Paytm  login  is  379509.  Do  not  share  with  anyone.,Transactional
Update your KYC or account will be frozen. Papa ka call aya tha abhi.,Spam
Happy	Birthday	man	🎉	wish	you	all	the	best!,Personal
Grab	up	to	70%	off	on	Flipkart’s	Big	Billion	Days.,Promotional
Reliance Digital: Pre-book iPhone now & get assured gift. Recharge kar diya kya Jio ka?,Promotional
rs.3504 debited from your sbi account xxxx5433 on 12/6/2025.,Transactional
Update	your	KYC	or	account	will	be	frozen.,Spam
Train  booking  for  Chennai-Hyderabad  confirmed.  PNR:  8209.,Transactional
bookmyshow:  ₹150  cashback  on  your  next  booking.,Promotional
Swiggy	offer:	Free	delivery	on	your	first	3	orders!,Promotional
Flight  at  6  AM  tomorrow.  Don’t  forget  passport.,Starred
Happy	Birthday	man	🎉	wish	you	all	the	best!,Personal
payment	of	rs.7615	received	for	your	mobile	recharge.,Transactional
Good  morning  🌞  have  a  great  day!!!!,Personal
Don’t forget tomorrow’s match at 7.,Personal
"Miss you yaar, it’s been too long! 😂",Personal
"Boss asked for report by 5 PM today. Offer mast hai bhai, jaldi le le!",Starred
project presentation due monday.,Starred
get  50%  off  on  myntra  this  weekend!  shop  now.,Promotional
Grab up to 70% off on Flipkart’s Big Billion Days. Papa ka call aya tha abhi.,Promotional
Happy Birthday man 🎉 wish you all the best!,Personal
I’ll  send  you  the  assignment  file  tonight.,Personal
Amazon order #8394 has been shipped. Expected delivery tomorrow.,Transactional
policy #3173 premium of rs.2948 successfully paid.,Transactional
Transaction alert: Rs.1110 credited to your account.,Transactional
"Hey bro, are we meeting today?",Personal
"Big	Bazaar	sale!	Buy	more,	save	more.",Promotional
Get  50%  off  on  Myntra  this  weekend!  Shop  now.,Promotional
Payment  of  Rs.8681  received  for  your  mobile  recharge.,Transactional
get 50% off on myntra this weekend! shop now.,Promotional
Meeting	postponed	bro	😒	http://office-meet.fake	Papa	ka	call	aya	tha	abhi.,Personal
"Just	checking	on	you,	how’s	everything	going?",Personal
Flight	3661	delayed	by	4	hours.,Transactional
Don’t  forget  tomorrow’s  match  at  7.,Personal
"your	otp	is	223668,	but	don’t	miss	our	diwali	offer!",Personal
