text,label
Flat ₹200 off on flights with code TRAVELNOW.,promotion
"Dear_user,_you’ve_been_selected_for_a_luxury_holiday!",spam
Salary of ₹3490 credited to your account on 10-Nov.,transaction
Your account is suspended. Verify at shorturl.at/offer.,spam
Call me when you reach home safely.,personal
your account is suspended. verify at shorturl.at/offer.,spam
"Dear user, you’ve been selected for a luxury holiday!",spam
Get FREE Netflix for a year! Reply YES.,spam
Your order #42145 has been shipped and will arrive by tomorrow.,transaction
let’s meet for lunch at 1?,personal
Join our membership for exclusive discounts.,promotion
enjoy 20% cashback on grocery orders using paytm.,promotion
Your balance is below ₹500. Please add funds soon.,transaction
Your loan EMI of ₹1162 will be deducted on 7-Apr.,transaction
Get FREE Netflix for a year! Reply YES.,spam
Let’s meet for lunch at 1?,personal
Your OTP for transaction is 188588. Do not share it with anyone.,transaction
"Hey, how are you doing today?",personal
Download our app for special rewards.,promotion
Flat ₹200 off on flights with code TRAVELNOW.,promotion
Big festive sale starts today! Up to 70% off on electronics.,promotion
Your balance is below ₹500. Please add funds soon.,transaction
Your account is suspended. Verify at bit.ly/xyz123.,spam
Claim  your  reward  points  before  expiry.,spam
Electricity bill of ₹18407 due on 27-Feb.,transaction
Click here for instant loan approval up to ₹5 lakh.,spam
"hey,  how  are  you  doing  today?",personal
Hurry! Early bird offer ends midnight.,promotion
Join our membership for exclusive discounts.,promotion
Payment of ₹22804 received for invoice #310.,transaction
Don’t forget to bring the charger.,personal
Urgent: Update your KYC to avoid account block.,spam
"Congratulations, you are our lucky winner today!",spam
Can you send me the notes from class?,personal
Don’t forget to bring the charger...,personal
Big festive sale starts today! Up to 70% off on electronics.,promotion
Let’s meet for lunch at 1?,personal
Can you send me the notes from class?,personal
Withdrawal of ₹11396 from ATM Pune successful.!!!,transaction
Download our app for special rewards.,promotion
Activate your bonus today! Visit promo-now.com/claim.,spam
Electricity bill of ₹9011 due on 25-Apr.,transaction
"Just reached office, bit late today.",personal
Activate your bonus today! Visit promo-now.com/claim.,spam
Mom asked if you’re joining for dinner.,personal
"Dear user, you’ve been selected for a luxury holiday!",spam
Let’s meet for lunch at 1?,personal
Happy birthday! Hope you have a great one.,personal
Can you send me the notes from class?,personal
Download our app for special rewards.,promotion
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Download  our  app  for  special  rewards.,promotion
"You’ve won ₹10,000 cashback! Click here to claim now.",spam
Withdrawal of ₹11564 from ATM Delhi successful.,transaction
Your balance is below ₹500. Please add funds soon.,transaction
Let’s meet for lunch at 1?,personal
Enjoy 20% cashback on grocery orders using PayTM.,promotion
Mom asked if you’re joining for dinner.,personal
recharge of ₹296 successful for vi.,transaction
flash sale on smartphones! prices starting ₹6999.,promotion
your otp for transaction is 606690. do not share it with anyone.,transaction
"Bro, check out this new cafe near MG Road.",personal
Your order #14797 has been shipped and will arrive by tomorrow.,transaction
Buy_1_Get_1_FREE_on_all_clothing_items_till_Sunday.,promotion
join our membership for exclusive discounts.,promotion
Your loan EMI of ₹46606 will be deducted on 17-Feb.,transaction
"Just reached office, bit late today.",personal
Withdrawal of ₹42012 from ATM Delhi successful.??,transaction
urgent:  update  your  kyc  to  avoid  account  block.,spam
Your OTP for transaction is 614429. Do not share it with anyone.,transaction
Activate your bonus today! Visit bit.ly/xyz123.,spam
Your order #46151 has been shipped and will arrive by tomorrow.,transaction
Electricity bill of ₹24103 due on 20-Jun.,transaction
Big_festive_sale_starts_today!_Up_to_70%_off_on_electronics.,promotion
Mom asked if you’re joining for dinner.,personal
"Just reached office, bit late today.",personal
Your order #38797 has been shipped and will arrive by tomorrow.,transaction
Your_OTP_for_transaction_is_305222._Do_not_share_it_with_anyone.,transaction
Don’t forget to bring the charger.,personal
Big festive sale starts today! Up to 70% off on electronics.,promotion
Hurry! Early bird offer ends midnight...,promotion
Recharge of ₹36874 successful for BSNL.,transaction
Activate your bonus today! Visit shorturl.at/offer.,spam
mom asked if you’re joining for dinner.,personal
your balance is below ₹500. please add funds soon.,transaction
Your balance is below ₹500. Please add funds soon.,transaction
Click here for instant loan approval up to ₹5 lakh.,spam
Hurry! Early bird offer ends midnight.,promotion
Your order #38446 has been shipped and will arrive by tomorrow.,transaction
Don’t forget to bring the charger.,personal
Withdrawal of ₹37973 from ATM Mumbai successful.!!!,transaction
Get FREE Netflix for a year! Reply YES.,spam
Payment of ₹48625 received for invoice #127.,transaction
Your loan EMI of ₹43565 will be deducted on 19-Jan.,transaction
Limited time offer! Free recharge coupons inside.,spam
"Bro, check out this new cafe near MG Road.",personal
Your OTP for transaction is 883382. Do not share it with anyone.,transaction
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Salary of ₹42133 credited to your account on 23-Mar.,transaction
Get_FREE_Netflix_for_a_year!_Reply_YES.,spam
Call me when you reach home safely.,personal
buy_1_get_1_free_on_all_clothing_items_till_sunday.,promotion
your loan emi of ₹44208 will be deducted on 16-feb.,transaction
Get  FREE  Netflix  for  a  year!  Reply  YES.,spam
"You’ve won ₹10,000 cashback! Click here to claim now.",spam
Your order #68687 has been shipped and will arrive by tomorrow.,transaction
Order food from Swiggy and get 50% off your first 3 orders.,promotion
"Bro, check out this new cafe near MG Road.",personal
Flat ₹200 off on flights with code TRAVELNOW.,promotion
Limited time offer! Free recharge coupons inside.,spam
Call me when you reach home safely.,personal
Limited time offer! Free recharge coupons inside.??,spam
Claim your reward points before expiry.,spam
Enjoy 20% cashback on grocery orders using PayTM.,promotion
Order_food_from_Swiggy_and_get_50%_off_your_first_3_orders.,promotion
"Bro, check out this new cafe near MG Road.",personal
Get FREE Netflix for a year! Reply YES.,spam
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Let’s meet for lunch at 1?,personal
Are you free this weekend?,personal
Mom asked if you’re joining for dinner.,personal
"You’ve won ₹10,000 cashback! Click here to claim now.",spam
Payment of ₹16275 received for invoice #299.,transaction
hurry!  early  bird  offer  ends  midnight.,promotion
Download our app for special rewards.,promotion
Urgent: Update your KYC to avoid account block.,spam
Let’s meet for lunch at 1?,personal
Salary of ₹31242 credited to your account on 14-Nov.,transaction
"hey, how are you doing today?",personal
Your account is suspended. Verify at shorturl.at/offer.,spam
Activate  your  bonus  today!  Visit  bit.ly/xyz123.,spam
Order food from Swiggy and get 50% off your first 3 orders.,promotion
Limited time offer! Free recharge coupons inside.,spam
Get FREE Netflix for a year! Reply YES.,spam
"Dear user, you’ve been selected for a luxury holiday!",spam
Download our app for special rewards.,promotion
Limited time offer! Free recharge coupons inside.,spam
Your_loan_EMI_of_₹37586_will_be_deducted_on_2-Feb.,transaction
flat ₹200 off on flights with code travelnow.,promotion
Big festive sale starts today! Up to 70% off on electronics.,promotion
"congratulations, you are our lucky winner today!",spam
"you’ve won ₹10,000 cashback! click here to claim now.",spam
are you free this weekend?,personal
Flash sale on smartphones! Prices starting ₹6999.,promotion
Big festive sale starts today! Up to 70% off on electronics.,promotion
Salary of ₹40214 credited to your account on 3-Feb.,transaction
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Can you send me the notes from class?,personal
Recharge of ₹27299 successful for BSNL.,transaction
Can you send me the notes from class?,personal
Get FREE Netflix for a year! Reply YES.,spam
"Congratulations, you are our lucky winner today!..",spam
Can you send me the notes from class?,personal
Click here for instant loan approval up to ₹5 lakh.,spam
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
"You’ve won ₹10,000 cashback! Click here to claim now.",spam
Don’t forget to bring the charger.,personal
Salary of ₹35973 credited to your account on 24-May.,transaction
Your_OTP_for_transaction_is_807929._Do_not_share_it_with_anyone.,transaction
"Bro, check out this new cafe near MG Road.",personal
Happy birthday! Hope you have a great one.,personal
"Dear user, you’ve been selected for a luxury holiday!??",spam
Electricity bill of ₹43413 due on 12-Dec.,transaction
Happy  birthday!  Hope  you  have  a  great  one.,personal
Click here for instant loan approval up to ₹5 lakh.,spam
Mom asked if you’re joining for dinner.,personal
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Call me when you reach home safely.,personal
Big festive sale starts today! Up to 70% off on electronics.,promotion
Enjoy 20% cashback on grocery orders using PayTM.,promotion
Don’t forget to bring the charger.,personal
Get FREE Netflix for a year! Reply YES.,spam
"Dear user, you’ve been selected for a luxury holiday!",spam
Payment of ₹21241 received for invoice #566.,transaction
recharge of ₹27152 successful for vi.,transaction
"Hey, how are you doing today?",personal
Happy  birthday!  Hope  you  have  a  great  one.,personal
urgent: update your kyc to avoid account block.,spam
Your OTP for transaction is 239576. Do not share it with anyone.,transaction
Urgent: Update your KYC to avoid account block.,spam
Are you free this weekend?,personal
Your  order  #80038  has  been  shipped  and  will  arrive  by  tomorrow.,transaction
Your balance is below ₹500. Please add funds soon.,transaction
New arrivals at Zara! Shop now before stock runs out.,promotion
Flash sale on smartphones! Prices starting ₹6999.,promotion
Mom asked if you’re joining for dinner.,personal
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
buy 1 get 1 free on all clothing items till sunday.,promotion
Activate your bonus today! Visit bit.ly/xyz123.,spam
"You’ve won ₹10,000 cashback! Click here to claim now.",spam
Call me when you reach home safely.,personal
Order_food_from_Swiggy_and_get_50%_off_your_first_3_orders.,promotion
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Happy  birthday!  Hope  you  have  a  great  one.,personal
Claim your reward points before expiry.,spam
withdrawal_of_₹12317_from_atm_pune_successful.,transaction
"Just reached office, bit late today.",personal
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Your OTP for transaction is 593402. Do not share it with anyone.,transaction
Recharge of ₹44702 successful for Airtel.,transaction
Your account is suspended. Verify at bit.ly/xyz123.,spam
new arrivals at zara! shop now before stock runs out.,promotion
Flash sale on smartphones! Prices starting ₹6999.,promotion
"Hey, how are you doing today?",personal
Are you free this weekend?,personal
Your account is suspended. Verify at shorturl.at/offer.,spam
Order food from Swiggy and get 50% off your first 3 orders.,promotion
Activate your bonus today! Visit shorturl.at/offer.,spam
Click here for instant loan approval up to ₹5 lakh.,spam
Big festive sale starts today! Up to 70% off on electronics.,promotion
Call me when you reach home safely.,personal
Activate your bonus today! Visit promo-now.com/claim.,spam
"Congratulations, you are our lucky winner today!",spam
Your order #94148 has been shipped and will arrive by tomorrow.,transaction
Your order #62202 has been shipped and will arrive by tomorrow.,transaction
Can you send me the notes from class?,personal
Recharge of ₹31823 successful for Airtel.,transaction
Limited time offer! Free recharge coupons inside.,spam
join our membership for exclusive discounts.,promotion
Withdrawal of ₹19140 from ATM Mumbai successful.,transaction
Withdrawal of ₹28852 from ATM Delhi successful.!!!,transaction
Rs. 46614 debited from your ICICI account on 15-Nov.,transaction
Big festive sale starts today! Up to 70% off on electronics.,promotion
Get FREE Netflix for a year! Reply YES.,spam
Electricity_bill_of_₹34071_due_on_3-Nov.,transaction
Get FREE Netflix for a year! Reply YES.,spam
big_festive_sale_starts_today!_up_to_70%_off_on_electronics.,promotion
Your OTP for transaction is 934404. Do not share it with anyone.,transaction
Payment of ₹27121 received for invoice #349.,transaction
New_arrivals_at_Zara!_Shop_now_before_stock_runs_out.,promotion
Activate your bonus today! Visit bit.ly/xyz123.,spam
enjoy 20% cashback on grocery orders using paytm.,promotion
Salary of ₹22962 credited to your account on 26-Apr.,transaction
Limited time offer! Free recharge coupons inside...,spam
Happy birthday! Hope you have a great one.,personal
Your_balance_is_below_₹500._Please_add_funds_soon.,transaction
Limited time offer! Free recharge coupons inside.,spam
"just reached office, bit late today.",personal
"Dear user, you’ve been selected for a luxury holiday!",spam
rs. 21160 debited from your icici account on 11-nov.,transaction
Can you send me the notes from class?,personal
"Dear  user,  you’ve  been  selected  for  a  luxury  holiday!",spam
Payment  of  ₹13708  received  for  invoice  #939.,transaction
Your loan EMI of ₹36070 will be deducted on 21-May.,transaction
Activate your bonus today! Visit promo-now.com/claim.,spam
Can you send me the notes from class?,personal
"Congratulations, you are our lucky winner today!",spam
"Hey, how are you doing today?",personal
Buy 1 Get 1 FREE on all clothing items till Sunday.,promotion
Urgent: Update your KYC to avoid account block.,spam
Urgent: Update your KYC to avoid account block.,spam
Your balance is below ₹500. Please add funds soon.,transaction
Flat ₹200 off on flights with code TRAVELNOW.,promotion
Order food from Swiggy and get 50% off your first 3 orders.,promotion
mom asked if you’re joining for dinner.,personal
electricity bill of ₹44954 due on 28-dec.,transaction
Enjoy 20% cashback on grocery orders using PayTM.,promotion
Are you free this weekend?,personal
Join our membership for exclusive discounts.,promotion
Salary of ₹4705 credited to your account on 21-Dec.,transaction
"Just reached office, bit late today.",personal
Let’s_meet_for_lunch_at_1?,personal
"Just reached office, bit late today.",personal
Claim your reward points before expiry.,spam
"Hey, how are you doing today?",personal
Click here for instant loan approval up to ₹5 lakh.,spam
Your order #13195 has been shipped and will arrive by tomorrow.,transaction
Your order #34715 has been shipped and will arrive by tomorrow.,transaction
"Just reached office, bit late today.",personal
Your  account  is  suspended.  Verify  at  shorturl.at/offer.,spam
"bro, check out this new cafe near mg road.",personal
withdrawal of ₹37810 from atm bangalore successful.,transaction
Buy_1_Get_1_FREE_on_all_clothing_items_till_Sunday.??,promotion
"Just reached office, bit late today.",personal
Urgent: Update your KYC to avoid account block.,spam
"Just reached office, bit late today.",personal
"Just reached office, bit late today.",personal
Withdrawal of ₹35502 from ATM Pune successful.,transaction
Click here for instant loan approval up to ₹5 lakh.,spam
Can you send me the notes from class?,personal
Withdrawal of ₹46815 from ATM Delhi successful.,transaction
Electricity bill of ₹6122 due on 5-Apr.,transaction
Flat ₹200 off on flights with code TRAVELNOW.,promotion
Rs._28357_debited_from_your_PNB_account_on_6-Nov.,transaction
Order food from Swiggy and get 50% off your first 3 orders.,promotion
"Hey, how are you doing today?",personal
electricity bill of ₹10397 due on 17-aug.,transaction
"Just reached office, bit late today.",personal
Order food from Swiggy and get 50% off your first 3 orders.,promotion
Don’t forget to bring the charger.,personal
Mom asked if you’re joining for dinner.,personal
"Just reached office, bit late today.",personal
Rs. 45376 debited from your PNB account on 23-Oct.,transaction
Enjoy 20% cashback on grocery orders using PayTM.,promotion
Download our app for special rewards.,promotion
"Dear user, you’ve been selected for a luxury holiday!",spam
Claim your reward points before expiry.,spam
New arrivals at Zara! Shop now before stock runs out.,promotion
Your order #42185 has been shipped and will arrive by tomorrow.,transaction
Limited time offer! Free recharge coupons inside.,spam
Click here for instant loan approval up to ₹5 lakh.,spam
Electricity bill of ₹19998 due on 16-May.,transaction
Flat ₹200 off on flights with code TRAVELNOW.,promotion
Can you send me the notes from class?,personal
Recharge of ₹48888 successful for BSNL.,transaction
"Dear user, you’ve been selected for a luxury holiday!",spam
Withdrawal of ₹36921 from ATM Mumbai successful.,transaction
Join our membership for exclusive discounts.,promotion
rs._44204_debited_from_your_hdfc_account_on_3-sep.,transaction
Activate your bonus today! Visit bit.ly/xyz123.,spam
"Dear  user,  you’ve  been  selected  for  a  luxury  holiday!",spam
Your balance is below ₹500. Please add funds soon.,transaction
Limited time offer! Free recharge coupons inside.,spam
"Congratulations, you are our lucky winner today!",spam
Your_order_#18983_has_been_shipped_and_will_arrive_by_tomorrow.,transaction
your order #58503 has been shipped and will arrive by tomorrow.,transaction
"Hey, how are you doing today?",personal
new arrivals at zara! shop now before stock runs out.,promotion
Are you free this weekend?,personal
Your order #71527 has been shipped and will arrive by tomorrow.,transaction
Flat_₹200_off_on_flights_with_code_TRAVELNOW.,promotion
Happy birthday! Hope you have a great one.,personal
Let’s meet for lunch at 1?,personal
Withdrawal of ₹13378 from ATM Bangalore successful.,transaction
