text,label
Happy Birthday! Hope you have a great day 🎉,personal
Earn Rs. 21400 per day from home! No experience needed. WhatsApp us now at 98XXXXXX01.,spam
Your package from Zomato is out for delivery today.,transactions
Exclusive Offer: Get a flat 47% discount on your next order from UrbanLadder. T&C apply.,promotions
Thank you for your payment of Rs. 5600 at Amazon.,transactions
Your cart is waiting! Complete your purchase now and get free shipping. http://short.url/pqr789,promotions
Just reached the cafe. Where are you?,personal
Upgrade your plan and get 2x data for the same price. Offer for MegaStore users only.,promotions
"Hey, are we still on for the meeting this weekend?",personal
Book your tickets for the the party now and get an early bird discount of 11%!,promotions
Your phone is infected with 5 viruses! Remove them now with our antivirus app: http://tiny.cc/abc456,spam
Rs. 5600 has been debited from your account XX7661 for a purchase at Zomato.,transactions
URGENT: Your bank account has been compromised. Verify your identity immediately at http://bit.ly/xyz123 to avoid suspension.,spam
Rs. 11350 has been credited to your account XX3331.,transactions
Happy Birthday! Hope you have a great day 🎉,personal
Happy Birthday! Hope you have a great day 🎉,personal
Book your tickets for the dinner now and get an early bird discount of 10%!,promotions
Your Netflix subscription has been renewed for Rs. 12850.,transactions
Happy Birthday! Hope you have a great day 🎉,personal
What time should I come over?,personal
Let's catch up this weekend. Are you free on Saturday?,personal
Exclusive Offer: Get a flat 60% discount on your next order from StyleUp. T&C apply.,promotions
Earn Rs. 19050 per day from home! No experience needed. WhatsApp us now at 98XXXXXX01.,spam
Reminder: Your credit card payment of Rs. 19050 is due on 15-Nov-2025.,transactions
FLASH SALE! Get 52% off on all groceries at UrbanLadder. Use code FREEDEL. Shop now: http://short.url/pqr789,promotions
Let's catch up this weekend. Are you free on Saturday?,personal
Your OTP for Netflix is 554576. It is valid for 34 minutes. Do not share it with anyone.,transactions
Exclusive Offer: Get a flat 10% discount on your next order from MegaStore. T&C apply.,promotions
Happy Birthday! Hope you have a great day 🎉,personal
Happy Birthday! Hope you have a great day 🎉,personal
Just reached the cafe. Where are you?,personal
Hey! We miss you. Here's a Rs. 5600 voucher just for you. Use code GET20. Valid till 15-Nov-2025.,promotions
Let's catch up this weekend. Are you free on Saturday?,personal
How's your mom doing?,personal
"Running late, be there in 24 mins.",personal
"Running late, be there in 38 mins.",personal
FLASH SALE! Get 41% off on all fashion at Boat. Use code FREEDEL. Shop now: http://bit.ly/xyz123,promotions
Rs. 7750 has been debited from your account XX7661 for a purchase at BigBasket.,transactions
Book your tickets for the the movie now and get an early bird discount of 20%!,promotions
You have (1) new unread message from a secret admirer. Read it here: http://short.url/pqr789,spam
FREE Holiday Package! You have been selected as a lucky winner. Claim your reward now before it expires: http://short.url/pqr789,spam
"I'll call you back in a bit, in a meeting right now.",personal
Book your tickets for the dinner now and get an early bird discount of 60%!,promotions
"Hey, are we still on for the movie this weekend?",personal
Exclusive Offer: Get a flat 60% discount on your next order from UrbanLadder. T&C apply.,promotions
Make money fast with our exclusive crypto trading signals. Guaranteed profits! Join our Telegram channel: http://bit.ly/xyz123,spam
Make money fast with our exclusive crypto trading signals. Guaranteed profits! Join our Telegram channel: http://tiny.cc/abc456,spam
Your Google subscription has been renewed for Rs. 21400.,transactions
Exclusive Offer: Get a flat 11% discount on your next order from MegaStore. T&C apply.,promotions
"I'll call you back in a bit, in a meeting right now.",personal
Make money fast with our exclusive crypto trading signals. Guaranteed profits! Join our Telegram channel: http://tiny.cc/abc456,spam
"Account Alert: A login from a new device was detected at 09:30 AM. If this wasn't you, please secure your account.",transactions
Did you see that movie last night? Was amazing!,personal
Earn Rs. 12850 per day from home! No experience needed. WhatsApp us now at 98XXXXXX01.,spam
Approved: Your personal loan of Rs. 11350 is ready. No documents required. Click for instant cash: http://short.url/pqr789,spam
Your order #2737357 from Myntra has been shipped. Track here: http://tiny.cc/abc456,transactions
Rs. 19050 has been debited from your account XX3331 for a purchase at BigBasket.,transactions
Rs. 12850 has been credited to your account XX3331.,transactions
lol that's hilarious 😂,personal
Your OTP for Google is 554576. It is valid for 16 minutes. Do not share it with anyone.,transactions
Hey! We miss you. Here's a Rs. 16550 voucher just for you. Use code DEAL100. Valid till 30-Sep-2025.,promotions
Your phone is infected with 5 viruses! Remove them now with our antivirus app: http://bit.ly/xyz123,spam
"Congratulations! You've won a Rs. 7750 cash prize. To claim, click this link: http://tiny.cc/abc456",spam
Rs. 6000 has been credited to your account XX7248.,transactions
"Congratulations! You've won a Rs. 12850 cash prize. To claim, click this link: http://bit.ly/xyz123",spam
Your phone is infected with 5 viruses! Remove them now with our antivirus app: http://bit.ly/xyz123,spam
Reminder: Your credit card payment of Rs. 6000 is due on 30-Sep-2025.,transactions
"Account Alert: A login from a new device was detected at 09:30 AM. If this wasn't you, please secure your account.",transactions
Happy Birthday! Hope you have a great day 🎉,personal
"Running late, be there in 38 mins.",personal
FREE iPhone 15! You have been selected as a lucky winner. Claim your reward now before it expires: http://short.url/pqr789,spam
Thank you for your payment of Rs. 12850 at Myntra.,transactions
Approved: Your personal loan of Rs. 1200 is ready. No documents required. Click for instant cash: http://short.url/pqr789,spam
"I'll call you back in a bit, in a meeting right now.",personal
"Thanks for yesterday, it was a lot of fun!",personal
Rs. 21400 has been credited to your account XX1182.,transactions
New arrivals are here! Explore the latest collection at Boat. Visit http://tiny.cc/abc456,promotions
Rs. 11350 has been debited from your account XX1182 for a purchase at Myntra.,transactions
Rs. 5600 has been debited from your account XX7248 for a purchase at Zomato.,transactions
Just reached the cafe. Where are you?,personal
URGENT: Your bank account has been compromised. Verify your identity immediately at http://bit.ly/xyz123 to avoid suspension.,spam
Just reached the cafe. Where are you?,personal
Your phone is infected with 5 viruses! Remove them now with our antivirus app: http://short.url/pqr789,spam
"I'll call you back in a bit, in a meeting right now.",personal
Approved: Your personal loan of Rs. 6000 is ready. No documents required. Click for instant cash: http://short.url/pqr789,spam
Your order #2737357 from Flipkart has been shipped. Track here: http://bit.ly/xyz123,transactions
Your phone is infected with 5 viruses! Remove them now with our antivirus app: http://short.url/pqr789,spam
Did you see that movie last night? Was amazing!,personal
